City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yellowknife,62.456,-114.3525,282.27,100,100,2.57,CA,1697078480
84,whitehorse,60.7161,-135.0538,278.58,86,75,4.12,CA,1697078481
85,olonkinbyen,70.9221,-8.7187,274.81,70,100,10.28,SJ,1697078481
86,yokadouma,3.5167,15.05,293.78,94,83,0.79,CM,1697078481
87,hovd,48.0056,91.6419,284.82,34,6,0.33,MN,1697078481
88,enewetak,11.3474,162.3373,301.75,73,42,5.31,MH,1697078482
89,i-n-salah,27.1935,2.4607,298.36,26,9,9.65,DZ,1697078482
90,acala,16.5667,-92.8,300.27,90,100,0.94,MX,1697078482
91,albany,42.6001,-73.9662,285.56,82,100,1.24,US,1697078213
92,ebon,4.582,168.6964,302.17,68,18,1.38,MH,1697078483
93,saint-philippe,-21.3585,55.7679,294.92,60,87,1.98,RE,1697078484
94,srikakulam,18.3,83.9,301.58,72,96,2.19,IN,1697078484
95,at taj,24.2049,23.2857,293.65,38,11,3.74,LY,1697078484
96,broken hill,-31.95,141.4333,294.07,25,0,11.37,AU,1697078485
97,bianzhuang,34.8486,118.0447,294.53,52,100,2.65,CN,1697078485
98,cantilan,9.3336,125.9775,302.72,73,67,2.11,PH,1697078485
99,georgetown,5.4112,100.3354,304.79,84,20,1.54,MY,1697078402
100,alofi,-19.0595,-169.9187,299.09,69,75,6.69,NU,1697078486
101,gbarnga,6.9956,-9.4722,295.09,100,100,0.43,LR,1697078486
102,gaiman,-43.2897,-65.4929,283.8,35,0,5.03,AR,1697078486
103,union city,37.5958,-122.0192,292.12,72,0,6.17,US,1697078364
104,novodvinsk,64.4165,40.8122,273.03,91,100,5.9,RU,1697078487
105,mar del plata,-38.0023,-57.5575,279.87,79,0,1.79,AR,1697078457
106,kodiak,57.79,-152.4072,276.88,48,20,5.14,US,1697078487
107,alto araguaia,-17.3147,-53.2153,298.46,63,100,0.43,BR,1697078488
108,qaqortoq,60.7167,-46.0333,275.1,91,11,3.34,GL,1697078488
109,hanceville,34.0607,-86.7675,289.63,97,100,2.09,US,1697078488
110,las tablas,7.7667,-80.2833,299.42,88,100,1.72,PA,1697078260
111,obidos,-1.9175,-55.5181,303.94,38,82,3.11,BR,1697078489
112,kepsut,39.6889,28.1522,283.23,88,0,1.9,TR,1697078489
113,port-cartier,50.0334,-66.8654,281.97,88,100,2.25,CA,1697078489
114,anadyr,64.75,177.4833,274.43,80,75,19.0,RU,1697078490
115,nagqu,31.5,92.0,275.9,31,100,4.2,CN,1697078490
116,grand falls-windsor,48.9332,-55.6649,280.65,91,100,1.17,CA,1697078435
117,baoshan,46.5586,131.4244,291.55,37,14,6.1,CN,1697078491
118,tocopilla,-22.092,-70.1979,290.95,75,23,2.19,CL,1697078491
119,oroqen zizhiqi,50.5667,123.7167,289.53,34,7,4.39,CN,1697078491
120,berezovyy,51.6667,135.7,289.75,45,12,3.64,RU,1697078491
121,ancud,-41.8697,-73.8203,278.72,86,24,3.03,CL,1697078492
122,longyearbyen,78.2186,15.6401,269.06,58,40,7.2,SJ,1697078229
123,gadzhiyevo,69.2551,33.3362,274.05,86,98,12.15,RU,1697078492
124,manokwari,-0.8667,134.0833,302.46,70,76,4.12,ID,1697078493
125,papao,-17.75,-149.55,301.97,79,7,8.27,PF,1697078493
126,tolanaro,-25.0319,46.9987,294.19,94,75,4.12,MG,1697078493
127,invercargill,-46.4,168.35,286.49,75,91,8.05,NZ,1697078231
128,macclenny,30.2822,-82.1221,294.27,94,100,0.45,US,1697077897
129,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,73,100,6.71,RU,1697078235
130,mwinilunga,-11.7358,24.4293,291.31,76,99,1.84,ZM,1697078495
131,poshekhon'ye,58.4993,39.1353,277.71,89,100,8.73,RU,1697078495
132,neiafu,-18.65,-173.9833,299.53,73,40,4.63,TO,1697078495
133,senanga,-16.1167,23.2667,294.02,39,3,1.31,ZM,1697078496
134,ribeira grande,38.5167,-28.7,293.02,91,37,3.58,PT,1697078496
135,antalaha,-14.9003,50.2788,294.11,85,30,2.25,MG,1697078496
136,fale old settlement,-9.3852,-171.2468,302.13,76,29,7.26,TK,1697078496
